action,index,method,norm_cost,station_name,original,new
match_no_change,0,cost_center,,,,
match_no_change,1,cost_center,,,,
match_no_change,2,cost_center,,,,
match_no_change,3,cost_center,,,,
match_no_change,4,cost_center,,,,
match_no_change,5,cost_center,,,,
match_no_change,6,cost_center,,,,
match_no_change,7,cost_center,,,,
match_no_change,8,cost_center,,,,
match_no_change,9,cost_center,,,,
match_no_change,10,cost_center,,,,
match_no_change,11,cost_center,,,,
match_no_change,12,cost_center,,,,
match_no_change,13,cost_center,,,,
match_no_change,14,cost_center,,,,
match_no_change,15,cost_center,,,,
match_no_change,16,cost_center,,,,
match_no_change,17,cost_center,,,,
match_no_change,18,cost_center,,,,
match_no_change,19,cost_center,,,,
match_no_change,20,cost_center,,,,
match_no_change,21,cost_center,,,,
match_no_change,22,cost_center,,,,
match_no_change,23,cost_center,,,,
match_no_change,24,cost_center,,,,
no_match,221,,1110354,,,
no_match,222,,1110354,,,
no_match,223,,1110354,,,
no_match,224,,1110354,,,
no_match,225,,1110063,,,
no_match,226,,1110063,,,
no_match,227,,1110063,,,
no_match,228,,1110063,,,
no_match,229,,1110063,,,
no_match,230,,1110063,,,
no_match,231,,1110063,,,
no_match,232,,1110063,,,
no_match,233,,1110063,,,
no_match,234,,1110063,,,
no_match,235,,1110063,,,
no_match,236,,1110063,,,
no_match,237,,1110063,,,
no_match,238,,1110063,,,
no_match,239,,1110063,,,
no_match,240,,1110063,,,
no_match,241,,1110063,,,
no_match,242,,1110063,,,
no_match,243,,1110063,,,
no_match,244,,1110063,,,
no_match,245,,1110063,,,
no_match,246,,1110063,,,
no_match,247,,1110063,,,
no_match,248,,1110063,,,
no_match,249,,1110063,,,
match_no_change,250,cost_center,,,,
match_no_change,251,cost_center,,,,
match_no_change,252,cost_center,,,,
match_no_change,253,cost_center,,,,
match_no_change,254,cost_center,,,,
match_no_change,255,cost_center,,,,
match_no_change,256,cost_center,,,,
match_no_change,257,cost_center,,,,
match_no_change,258,cost_center,,,,
match_no_change,259,cost_center,,,,
match_no_change,260,cost_center,,,,
match_no_change,261,cost_center,,,,
match_no_change,262,cost_center,,,,
match_no_change,263,cost_center,,,,
match_no_change,264,cost_center,,,,
match_no_change,265,cost_center,,,,
