action,index,row,original,new
insert,77,"{'station name': 'ILUPEJU 1', 'cost center': 'NG111S0085', 'country code': 'NG'}",,
insert,78,"{'station name': 'OKIRIGHWERE JNC. S/S', 'cost center': 'NG111S0255', 'country code': 'NG'}",,
insert,82,"{'station name': 'ASOKORO', 'cost center': 'NG111S0261', 'country code': 'NG'}",,
insert,83,"{'station name': 'KUBWA', 'cost center': 'NG111S0285', 'country code': 'NG'}",,
insert,84,"{'station name': 'SEME-BADAGRY', 'cost center': 'NG111S0079', 'country code': 'NG'}",,
update,85,,"{'cost center': 'NG111S0451', 'station name': 'BENIN/ASABA EXP SS', 'city': 'ASABA', 'segmentation': 'S1', 'management method': 'CODO', 'country code': 'NG', 'norm_name': 'benin asaba exp ss'}","{'cost center': 'NG111S0451', 'station name': 'Benin/Asaba Exp', 'city': 'ASABA', 'segmentation': 'S1', 'management method': 'CODO', 'country code': 'NG', 'norm_name': 'benin asaba exp ss'}"
insert,87,"{'station name': '138 AKPAKPAVA', 'cost center': 'NG111S0226', 'country code': 'NG'}",,
insert,88,"{'station name': '1ST EAST CIRCULAR', 'cost center': 'NG111S0227', 'country code': 'NG'}",,
insert,89,"{'station name': 'BENIN CENTRE', 'cost center': 'NG111S0228', 'country code': 'NG'}",,
insert,90,"{'station name': 'KM 8', 'cost center': 'NG111S0230', 'country code': 'NG'}",,
insert,91,"{'station name': 'UGBOWO', 'cost center': 'NG111S0237', 'country code': 'NG'}",,
insert,92,"{'station name': 'UYO TOWN SS', 'cost center': 'NG111S0163', 'country code': 'NG'}",,
insert,95,"{'station name': 'DIYA', 'cost center': 'NG111S0039', 'country code': 'NG'}",,
insert,96,"{'station name': 'OJOTA 1', 'cost center': 'NG111S0042', 'country code': 'NG'}",,
update,97,,"{'cost center': 'NG111S0088', 'station name': 'IBADAN RD. SS', 'city': 'ILESHA', 'segmentation': 'S3', 'management method': 'CODO', 'country code': 'NG', 'norm_name': 'ibadan rd ss'}","{'cost center': 'NG111S0028', 'station name': 'Ibadan Rd', 'city': 'ILESHA', 'segmentation': 'S3', 'management method': 'CODO', 'country code': 'NG', 'norm_name': 'ibadan rd ss'}"
insert,98,"{'station name': 'BIDA ROAD 1 SS MINNA', 'cost center': 'NG111S0273', 'country code': 'NG'}",,
insert,99,"{'station name': 'NEW BUSSA', 'cost center': 'NG111S0278', 'country code': 'NG'}",,
insert,101,"{'station name': 'RUMUOMASI', 'cost center': 'NG111S0207', 'country code': 'NG'}",,
insert,102,"{'station name': 'OJUELEGBA', 'cost center': 'NG111S0070', 'country code': 'NG'}",,
insert,103,"{'station name': 'EFFURUN S/S', 'cost center': 'NG111S0251', 'country code': 'NG'}",,
insert,104,"{'station name': 'MILE 2, LAGOS', 'cost center': 'NG111S0056', 'country code': 'NG'}",,
insert,108,"{'station name': 'ISOLO 2', 'cost center': 'NG111S0429', 'country code': 'NG'}",,
insert,110,"{'station name': 'OPIC ESTATE PSS', 'cost center': 'NG111S0580', 'country code': 'NG'}",,
insert,111,"{'station name': 'EJIRIN PFS', 'cost center': 'NG111S0034', 'country code': 'NG'}",,
insert,112,"{'station name': 'IKEJA', 'cost center': 'NG111S0084', 'country code': 'NG'}",,
update,113,,"{'cost center': 'NG111S0037', 'station name': 'ALAPERE ', 'city': 'IKORODU', 'segmentation': 'S2', 'management method': 'DODO', 'country code': 'NG', 'norm_name': 'alapere'}","{'cost center': 'NG111S0038', 'station name': 'Alapere 2', 'city': 'IKORODU', 'segmentation': 'S2', 'management method': 'DODO', 'country code': 'NG', 'norm_name': 'alapere'}"
insert,114,"{'station name': 'KADARA SS', 'cost center': 'NG111S0310', 'country code': 'NG'}",,
insert,116,"{'station name': 'IWO ROAD S/S', 'cost center': 'NG111S0111', 'country code': 'NG'}",,
insert,117,"{'station name': 'OJOO', 'cost center': 'NG111S0115', 'country code': 'NG'}",,
insert,118,"{'station name': 'OLODE F/S', 'cost center': 'NG111S0116', 'country code': 'NG'}",,
insert,119,"{'station name': 'TRAILER PARK S/S', 'cost center': 'NG111S0119', 'country code': 'NG'}",,
insert,120,"{'station name': 'ADAMASINGBA S/S', 'cost center': 'NG111S0121', 'country code': 'NG'}",,
insert,121,"{'station name': 'APATAPETE S/S', 'cost center': 'NG111S0123', 'country code': 'NG'}",,
insert,122,"{'station name': 'ELEIYELE II F/S', 'cost center': 'NG111S0125', 'country code': 'NG'}",,
insert,123,"{'station name': 'NEW RESERVATION F/S', 'cost center': 'NG111S0131', 'country code': 'NG'}",,
insert,124,"{'station name': 'RING ROAD IBADAN', 'cost center': 'NG111S0135', 'country code': 'NG'}",,
insert,125,"{'station name': 'IBADAN RD. OYO', 'cost center': 'NG111S0139', 'country code': 'NG'}",,
insert,126,"{'station name': 'IGBETI', 'cost center': 'NG111S0140', 'country code': 'NG'}",,
insert,127,"{'station name': 'OYO RD. OGBOMOSO', 'cost center': 'NG111S0147', 'country code': 'NG'}",,
insert,128,"{'station name': 'SHAKI', 'cost center': 'NG111S0148', 'country code': 'NG'}",,
insert,130,"{'station name': 'ABA OWR RD', 'cost center': 'NG111S0151', 'country code': 'NG'}",,
insert,136,"{'station name': 'IFO', 'cost center': 'NG111S0003', 'country code': 'NG'}",,
update,137,,"{'cost center': 'NG111S0005', 'station name': 'ILARO 1', 'city': 'ABEOKUTA', 'segmentation': 'S3', 'management method': 'CODO', 'country code': 'NG', 'norm_name': 'ilaro 1'}","{'cost center': 'NG111S0381', 'station name': 'Ilaro 2', 'city': 'ABEOKUTA', 'segmentation': 'S3', 'management method': 'CODO', 'country code': 'NG', 'norm_name': 'ilaro 1'}"
insert,138,"{'station name': 'LAFENWA', 'cost center': 'NG111S0007', 'country code': 'NG'}",,
insert,139,"{'station name': 'OKEITOKU', 'cost center': 'NG111S0008', 'country code': 'NG'}",,
insert,140,"{'station name': 'OWODE', 'cost center': 'NG111S0080', 'country code': 'NG'}",,
insert,141,"{'station name': 'KEFFI', 'cost center': 'NG111S0264', 'country code': 'NG'}",,
insert,142,"{'station name': 'UKE', 'cost center': 'NG111S0270', 'country code': 'NG'}",,
insert,143,"{'station name': 'MADALLA 2', 'cost center': 'NG111S0286', 'country code': 'NG'}",,
insert,144,"{'station name': 'ZUBA JUNCTION', 'cost center': 'NG111S0290', 'country code': 'NG'}",,
insert,146,"{'station name': 'HOSPITAL ROAD AKURE', 'cost center': 'NG111S0650', 'country code': 'NG'}",,
update,148,,"{'cost center': 'NG111S0214', 'station name': 'ORE EXPRESS', 'city': 'AKURE', 'segmentation': 'S2', 'management method': 'CODO', 'country code': 'NG', 'norm_name': 'ore express'}","{'cost center': 'GA111S0011', 'station name': 'Voie Express', 'city': 'AKURE', 'segmentation': 'S2', 'management method': 'CODO', 'country code': 'GA', 'norm_name': 'ore express'}"
insert,149,"{'station name': 'ORE JUNCTION', 'cost center': 'NG111S0215', 'country code': 'NG'}",,
insert,150,"{'station name': 'ST. DAVIDS', 'cost center': 'NG111S0216', 'country code': 'NG'}",,
insert,153,"{'station name': 'ASABA FERRY S/S', 'cost center': 'NG111S0218', 'country code': 'NG'}",,
update,154,,"{'cost center': 'NG111S0222', 'station name': 'BRIDGE HEAD II OSADEBE', 'city': 'ASABA', 'segmentation': 'S2', 'management method': 'CODO', 'country code': 'NG', 'norm_name': 'bridge head ii osadebe'}","{'cost center': 'NG111S0222', 'station name': 'Bridge Head 2 Osadebe', 'city': 'ASABA', 'segmentation': 'S2', 'management method': 'CODO', 'country code': 'NG', 'norm_name': 'bridge head ii osadebe'}"
insert,156,"{'station name': 'IKPOBA SLOPE', 'cost center': 'NG111S0229', 'country code': 'NG'}",,
insert,157,"{'station name': 'LORRY PARK', 'cost center': 'NG111S0232', 'country code': 'NG'}",,
insert,158,"{'station name': 'MISSION ROAD', 'cost center': 'NG111S0233', 'country code': 'NG'}",,
insert,159,"{'station name': 'OLUKU JUNCTION', 'cost center': 'NG111S0234', 'country code': 'NG'}",,
insert,161,"{'station name': 'WIRE ROAD', 'cost center': 'NG111S0238', 'country code': 'NG'}",,
insert,162,"{'station name': 'ABAK RD SS', 'cost center': 'NG111S0158', 'country code': 'NG'}",,
insert,164,"{'station name': 'YELLOW DUKE SS', 'cost center': 'NG111S0164', 'country code': 'NG'}",,
insert,165,"{'station name': 'ALAKUKO S/S', 'cost center': 'NG111S0012', 'country code': 'NG'}",,
insert,166,"{'station name': 'IDIROKO S/S', 'cost center': 'NG111S0013', 'country code': 'NG'}",,
insert,167,"{'station name': 'OJOKORO  S/S', 'cost center': 'NG111S0014', 'country code': 'NG'}",,
insert,168,"{'station name': 'OKE ODO S/S', 'cost center': 'NG111S0015', 'country code': 'NG'}",,
insert,169,"{'station name': 'OKO OBA S/S', 'cost center': 'NG111S0016', 'country code': 'NG'}",,
insert,170,"{'station name': 'SANGO OTTA F/S', 'cost center': 'NG111S0018', 'country code': 'NG'}",,
insert,171,"{'station name': 'ADO IKERE', 'cost center': 'NG111S0239', 'country code': 'NG'}",,
insert,172,"{'station name': 'ADO OWO', 'cost center': 'NG111S0241', 'country code': 'NG'}",,
insert,173,"{'station name': 'IKARE CENTRE', 'cost center': 'NG111S0243', 'country code': 'NG'}",,
insert,174,"{'station name': 'Ikole Ekiti', 'cost center': 'NG111S0245', 'country code': 'NG'}",,
insert,175,"{'station name': 'AGBANI', 'cost center': 'NG111S0166', 'country code': 'NG'}",,
insert,176,"{'station name': 'NSUKKA F/S', 'cost center': 'NG111S0170', 'country code': 'NG'}",,
insert,177,"{'station name': 'OGBETE', 'cost center': 'NG111S0172', 'country code': 'NG'}",,
insert,178,"{'station name': 'ORBA', 'cost center': 'NG111S0734', 'country code': 'NG'}",,
insert,179,"{'station name': 'PRESIDENTIAL RD S/S', 'cost center': 'NG111S0174', 'country code': 'NG'}",,
insert,180,"{'station name': 'UWANI', 'cost center': 'NG111S0175', 'country code': 'NG'}",,
insert,181,"{'station name': 'ALKALAM SS', 'cost center': 'NG111S0325', 'country code': 'NG'}",,
insert,182,"{'station name': 'ATBU , BAUCHI', 'cost center': 'NG111S0645', 'country code': 'NG'}",,
insert,183,"{'station name': 'BAUCHI R/ABOUT FS', 'cost center': 'NG111S0326', 'country code': 'NG'}",,
insert,184,"{'station name': 'BAUCHI RD, GOMBE', 'cost center': 'NG111S0327', 'country code': 'NG'}",,
insert,185,"{'station name': 'JOS RD SS, BAUCHI', 'cost center': 'NG111S0329', 'country code': 'NG'}",,
insert,186,"{'station name': 'YANDOKA SS', 'cost center': 'NG111S0330', 'country code': 'NG'}",,
