action,index,row,original,new
insert,1267,"{'station name': 'SOUIHLA', 'cost center': 'MA111S4494', 'country code': 'MA'}",,
insert,1268,"{'station name': 'SOUK EL ARBA', 'cost center': 'MA111S2263', 'country code': 'MA'}",,
insert,1269,"{'station name': 'SOUK TNINE', 'cost center': 'MA111S3220', 'country code': 'MA'}",,
insert,1270,"{'station name': 'SRAGHNA', 'cost center': 'MA111S4252', 'country code': 'MA'}",,
insert,1271,"{'station name': 'TABOUANITE', 'cost center': 'MA111S4268', 'country code': 'MA'}",,
insert,1273,"{'station name': 'TAFILELT', 'cost center': 'MA111S2254', 'country code': 'MA'}",,
insert,1274,"{'station name': 'TAGADIRT', 'cost center': 'MA111S4346', 'country code': 'MA'}",,
insert,1275,"{'station name': 'TAIMOUSSI', 'cost center': 'MA111S4369', 'country code': 'MA'}",,
insert,1276,"{'station name': 'TAMARIS 3', 'cost center': 'MA111S4387', 'country code': 'MA'}",,
insert,1277,"{'station name': 'TAMELET', 'cost center': 'MA111S2242', 'country code': 'MA'}",,
insert,1278,"{'station name': 'TAMENSOURT', 'cost center': 'MA111S4417', 'country code': 'MA'}",,
insert,1280,"{'station name': 'TAMRI', 'cost center': 'MA111S4211', 'country code': 'MA'}",,
insert,1281,"{'station name': 'TAOUNATE', 'cost center': 'MA111S4554', 'country code': 'MA'}",,
insert,1283,"{'station name': 'TARGA', 'cost center': 'MA111S2217', 'country code': 'MA'}",,
insert,1284,"{'station name': 'TARGUIST', 'cost center': 'MA111S4316', 'country code': 'MA'}",,
insert,1285,"{'station name': 'TAROUDANT', 'cost center': 'MA111S4496', 'country code': 'MA'}",,
insert,1286,"{'station name': 'TASSAOUT', 'cost center': 'MA111S4428', 'country code': 'MA'}",,
insert,1287,"{'station name': 'TATA', 'cost center': 'MA111S4253', 'country code': 'MA'}",,
insert,1288,"{'station name': 'TAZA', 'cost center': 'MA111S2262', 'country code': 'MA'}",,
insert,1290,"{'station name': 'TIKIOUINE', 'cost center': 'MA111S4473', 'country code': 'MA'}",,
insert,1292,"{'station name': 'TINE MANSOUR', 'cost center': 'MA111S4297', 'country code': 'MA'}",,
insert,1293,"{'station name': 'TINZOULINE', 'cost center': 'MA111S4208', 'country code': 'MA'}",,
insert,1294,"{'station name': 'TIZNIT', 'cost center': 'MA111S2201', 'country code': 'MA'}",,
insert,1295,"{'station name': 'TLET  HANCHENES', 'cost center': 'MA111S4213', 'country code': 'MA'}",,
insert,1296,"{'station name': 'TLET LOULAD', 'cost center': 'MA111S4206', 'country code': 'MA'}",,
insert,1297,"{'station name': 'TNINE GHIAT', 'cost center': 'MA111S4232', 'country code': 'MA'}",,
insert,1298,"{'station name': 'TRIFFAS', 'cost center': 'MA111S2237', 'country code': 'MA'}",,
insert,1299,"{'station name': 'TROIS PORTES', 'cost center': 'MA111S2298', 'country code': 'MA'}",,
insert,1300,"{'station name': 'VELODROME', 'cost center': 'MA111S2226', 'country code': 'MA'}",,
insert,1301,"{'station name': 'VETCAM ', 'cost center': 'MA111S4465', 'country code': 'MA'}",,
insert,1302,"{'station name': 'ville verte', 'cost center': 'MA111S4507', 'country code': 'MA'}",,
insert,1304,"{'station name': 'YABYO', 'cost center': 'MA111S4451', 'country code': 'MA'}",,
insert,1305,"{'station name': 'ZAIO', 'cost center': 'MA111S4480', 'country code': 'MA'}",,
insert,1308,"{'station name': 'ZENATA', 'cost center': 'MA111S2228', 'country code': 'MA'}",,
insert,1309,"{'station name': 'ZERHOUNE', 'cost center': 'MA111S2313', 'country code': 'MA'}",,
insert,1310,"{'station name': 'ZI BERRECHID', 'cost center': 'MA111S4447', 'country code': 'MA'}",,
insert,1313,"{'station name': 'BEAUSITE', 'cost center': 'MA111S4541', 'country code': 'MA'}",,
insert,1315,"{'station name': 'HAOUZIA\xa0', 'cost center': 'MA111S4561', 'country code': 'MA'}",,
insert,1316,"{'station name': 'JOUABRA ', 'cost center': 'MA111S4562', 'country code': 'MA'}",,
insert,1320,"{'station name': 'EL GARA', 'cost center': 'MA111S4558', 'country code': 'MA'}",,
insert,1321,"{'station name': 'OULED TEIMA', 'cost center': 'MA111S4543', 'country code': 'MA'}",,
insert,1323,"{'station name': 'VICTORIA', 'cost center': 'MA111S4519', 'country code': 'MA'}",,
insert,1325,"{'station name': 'Marché de Benguerir ', 'cost center': 'MA111S4549', 'country code': 'MA'}",,
insert,1327,"{'station name': 'ALMERIA', 'cost center': 'MA111S4578', 'country code': 'MA'}",,
insert,1332,"{'station name': 'SIDI RAHAL', 'cost center': 'MA111S4590', 'country code': 'MA'}",,
insert,1333,"{'station name': 'Taliouine', 'cost center': 'MA111S4575', 'country code': 'MA'}",,
insert,1334,"{'station name': 'Oued essafa', 'cost center': 'MA111S4580', 'country code': 'MA'}",,
insert,1335,"{'station name': 'ZERHOUNI', 'cost center': 'MA111S4584', 'country code': 'MA'}",,
insert,1336,"{'station name': 'SKHOUR RHAMNAS', 'cost center': 'MA111S4581', 'country code': 'MA'}",,
insert,1337,"{'station name': 'COMPLEXE EL BOUDALI', 'cost center': 'MA111S4555', 'country code': 'MA'}",,
insert,1338,"{'station name': 'MIDELT', 'cost center': 'MA111S4421', 'country code': 'MA'}",,
insert,1339,"{'station name': 'TABOUNTE', 'cost center': 'MA111S4586', 'country code': 'MA'}",,
insert,1340,"{'station name': 'SECOLA', 'cost center': 'MA111S4568', 'country code': 'MA'}",,
insert,1342,"{'station name': 'GARE AIN SEBAA', 'cost center': 'MA111S4573', 'country code': 'MA'}",,
insert,1343,"{'station name': 'BOUIZAKARNE', 'cost center': 'MA111S4579', 'country code': 'MA'}",,
insert,1344,"{'station name': 'WAHA', 'cost center': 'MA111S4571', 'country code': 'MA'}",,
insert,1346,"{'station name': 'GUERCIF', 'cost center': 'MA111S4604', 'country code': 'MA'}",,
update,1347,,"{'cost center': 'MA111S4589', 'station name': 'ABRAJ OULFA', 'city': 'CASA SUD', 'segmentation': 'S1', 'management method': 'DODO', 'country code': 'MA', 'norm_name': 'abraj oulfa'}","{'cost center': 'MA111S4589', 'station name': 'Abrajoulfa', 'city': 'CASA SUD', 'segmentation': 'S1', 'management method': 'DODO', 'country code': 'MA', 'norm_name': 'abraj oulfa'}"
insert,1356,"{'station name': 'Abercrombie                                                                                                 ', 'cost center': 'MU111S2001', 'country code': 'MU'}",,
insert,1357,"{'station name': 'Ambrose                                                                                                                 ', 'cost center': 'MU111S2002', 'country code': 'MU'}",,
insert,1358,"{'station name': 'Bambous                                                                                                                 ', 'cost center': 'MU111S2003', 'country code': 'MU'}",,
insert,1359,"{'station name': 'Beau Bassin                                                                                                             ', 'cost center': 'MU111S2046', 'country code': 'MU'}",,
insert,1360,"{'station name': 'Bel Air                                                                                                                 ', 'cost center': 'MU111S2004', 'country code': 'MU'}",,
insert,1361,"{'station name': 'Belle Rose                                                                                                              ', 'cost center': 'MU111S2005', 'country code': 'MU'}",,
insert,1363,"{'station name': 'Cap Tamarin', 'cost center': 'MU111S2049', 'country code': 'MU'}",,
insert,1364,"{'station name': 'Castel                                                                                                                  ', 'cost center': 'MU111S2007', 'country code': 'MU'}",,
insert,1366,"{'station name': 'Curepipe                                                                                                                ', 'cost center': 'MU111S2041', 'country code': 'MU'}",,
insert,1367,"{'station name': 'Desforges                                                                                                               ', 'cost center': 'MU111S2009', 'country code': 'MU'}",,
insert,1368,"{'station name': 'Flacq                                                                                                                   ', 'cost center': 'MU111S3003', 'country code': 'MU'}",,
insert,1370,"{'station name': 'Forest Side                                                                                                             ', 'cost center': 'MU111S2010', 'country code': 'MU'}",,
insert,1371,"{'station name': 'Grand Baie                                                                                                              ', 'cost center': 'MU111S2047', 'country code': 'MU'}",,
insert,1372,"{'station name': 'Ilot                                                                                                                    ', 'cost center': 'MU111S4004', 'country code': 'MU'}",,
insert,1373,"{'station name': 'La Gaité                                                                                                                ', 'cost center': 'MU111S2012', 'country code': 'MU'}",,
insert,1374,"{'station name': 'Labourdonnais                                                                                                           ', 'cost center': 'MU111S2013', 'country code': 'MU'}",,
insert,1375,"{'station name': 'Lallmatie                                                                                                               ', 'cost center': 'MU111S2014', 'country code': 'MU'}",,
insert,1376,"{'station name': ""L'escalier                                                                                                              "", 'cost center': 'MU111S2015', 'country code': 'MU'}",,
insert,1377,"{'station name': 'Mahebourg                                                                                                               ', 'cost center': 'MU111S2016', 'country code': 'MU'}",,
insert,1378,"{'station name': 'Mon Choisy', 'cost center': 'MU111S2044', 'country code': 'MU'}",,
insert,1379,"{'station name': 'Mont Ida                                                                                                                ', 'cost center': 'MU111S2017', 'country code': 'MU'}",,
insert,1380,"{'station name': 'North Exit                                                                                                              ', 'cost center': 'MU111S2019', 'country code': 'MU'}",,
insert,1381,"{'station name': 'Nouvelle France       A9                                                                                                  ', 'cost center': 'MU111S2018', 'country code': 'MU'}",,
insert,1382,"{'station name': 'Petit Raffray', 'cost center': 'MU111S2042', 'country code': 'MU'}",,
insert,1383,"{'station name': 'Phoenix                                                                                                                 ', 'cost center': 'MU111S2020', 'country code': 'MU'}",,
insert,1384,"{'station name': 'Plaine Verte                                                                                                            ', 'cost center': 'MU111S2021', 'country code': 'MU'}",,
insert,1385,"{'station name': 'Plaines des Papayes                                                                                                     ', 'cost center': 'MU111S2022', 'country code': 'MU'}",,
insert,1386,"{'station name': 'Quatre Bornes                                                                                                           ', 'cost center': 'MU111S2043', 'country code': 'MU'}",,
insert,1388,"{'station name': 'Rivière des Anguilles                                                                                                   ', 'cost center': 'MU111S2024', 'country code': 'MU'}",,
insert,1389,"{'station name': 'Rivière du Rempart                                                                                                      ', 'cost center': 'MU111S2025', 'country code': 'MU'}",,
insert,1390,"{'station name': 'Rose Belle Flamingo                                                               ', 'cost center': 'MU111S2027', 'country code': 'MU'}",,
insert,1391,"{'station name': 'Rose Belle Tropical                                                                                                       ', 'cost center': 'MU111S2026', 'country code': 'MU'}",,
insert,1392,"{'station name': 'Rose Hill                                                                                                               ', 'cost center': 'MU111S2028', 'country code': 'MU'}",,
insert,1393,"{'station name': 'Sebastopol                                                                                                              ', 'cost center': 'MU111S2029', 'country code': 'MU'}",,
insert,1394,"{'station name': 'Solitude                                                                                                                ', 'cost center': 'MU111S2030', 'country code': 'MU'}",,
insert,1395,"{'station name': 'South Exit                                                                                                              ', 'cost center': 'MU111S2031', 'country code': 'MU'}",,
insert,1396,"{'station name': 'St Julien                                                                                                               ', 'cost center': 'MU111S2033', 'country code': 'MU'}",,
insert,1397,"{'station name': 'St Pierre                                                                                                               ', 'cost center': 'MU111S2034', 'country code': 'MU'}",,
insert,1398,"{'station name': 'Surinam                                                                                                                 ', 'cost center': 'MU111S2035', 'country code': 'MU'}",,
insert,1399,"{'station name': 'Terre Rouge', 'cost center': 'MU111S2040', 'country code': 'MU'}",,
insert,1400,"{'station name': 'Triolet                                                                                                                 ', 'cost center': 'MU111S2036', 'country code': 'MU'}",,
insert,1401,"{'station name': ""Trou d'Eau Douce                                                                                                        "", 'cost center': 'MU111S4001', 'country code': 'MU'}",,
insert,1402,"{'station name': 'Vacoas                                                                                                                  ', 'cost center': 'MU111S2037', 'country code': 'MU'}",,
insert,1403,"{'station name': 'Mont Roches (CLDO)', 'cost center': 'MU111S2050', 'country code': 'MU'}",,
insert,1404,"{'station name': 'Nouvelle France M1', 'cost center': 'MU111S2051', 'country code': 'MU'}",,
insert,1405,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1406,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1407,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1408,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1409,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1410,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1411,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1412,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1413,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1414,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1415,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1416,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1417,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1418,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1419,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1420,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1421,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1422,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1423,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1424,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1425,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1426,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1427,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1428,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1429,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1430,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1431,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1432,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1433,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1434,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1435,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1436,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1437,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1438,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1439,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1440,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1441,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1442,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1443,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1444,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1445,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1446,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1447,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1448,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1449,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1450,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1451,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1452,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1453,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1454,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1455,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1456,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1457,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1458,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1459,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1460,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1461,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1462,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1463,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1464,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1465,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1466,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1467,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1468,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1469,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1470,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1471,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1472,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1473,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1474,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1475,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1476,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1477,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1478,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1479,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1480,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1481,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1482,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1483,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1484,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1485,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1486,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1487,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1488,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1489,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1490,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1491,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1492,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1493,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1494,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1495,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1496,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1497,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1498,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1499,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1500,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1501,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1502,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1503,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1504,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1505,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1506,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1507,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1508,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1509,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1510,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1511,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1512,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1513,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1514,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1515,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1516,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1517,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1518,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1519,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1520,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1521,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1522,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1523,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1524,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1525,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1526,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1527,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1528,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1529,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1530,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1531,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1532,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1533,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1534,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1535,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1536,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1537,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1538,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1539,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1540,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1541,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1542,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1543,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1544,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1545,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1546,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1547,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1548,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1549,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1550,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1551,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1552,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1553,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1554,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1555,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1556,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1557,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1558,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1559,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1560,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1561,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1562,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1563,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1564,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1565,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1566,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1567,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1568,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1569,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1570,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1571,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1572,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1573,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1574,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1575,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1576,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1577,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1578,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1579,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1580,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1581,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1582,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1583,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1584,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1585,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1586,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1587,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1588,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1589,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1590,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1591,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
insert,1592,"{'station name': '\xa0', 'cost center': '\xa0', 'country code': 'MU'}",,
