action,index,norm_cost,station_name,method,original,new
update,2149,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Choorkop', 'city': 'Guateng', 'segmentation': 'S3', 'management method': 'CODO', 'country code': 'ZA', 'norm_name': 'choorkop', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Chloorkop', 'cost center': 'ZA111S0655', 'country code': 'ZA'}"
update,2150,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Clayville', 'city': 'Gauteng', 'segmentation': 'S1', 'management method': 'DODO', 'country code': 'ZA', 'norm_name': 'clayville', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Clayville', 'cost center': 'ZA111S0712', 'country code': 'ZA'}"
update,2151,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Clermont', 'city': 'KwaZulu Natal', 'segmentation': 'S2', 'management method': 'DODO', 'country code': 'ZA', 'norm_name': 'clermont', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Clermont', 'cost center': 'ZA111S0697', 'country code': 'ZA'}"
update,2152,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Commercial Utility', 'city': 'North West ', 'segmentation': 'In-Active', 'management method': 'CODO', 'country code': 'ZA', 'norm_name': 'commercial utility', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Centre commercial', 'cost center': 'CM111S2347', 'country code': 'CM'}"
update,2153,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Contantia Kloof', 'city': 'Guateng', 'segmentation': 'S1', 'management method': 'CODO', 'country code': 'ZA', 'norm_name': 'contantia kloof', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Coronation', 'cost center': 'NG111S0347', 'country code': 'NG'}"
update,2154,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Contantia Park', 'city': 'Gauteng', 'segmentation': 'S2', 'management method': 'CODO', 'country code': 'ZA', 'norm_name': 'contantia park', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Fauna Park', 'cost center': 'ZA111S0059', 'country code': 'ZA'}"
update,2155,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Cool Ideas SS', 'city': 'Mpumalanga', 'segmentation': 'closed', 'management method': 'DODO', 'country code': 'ZA', 'norm_name': 'cool ideas ss', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Surf Side Motors', 'cost center': 'ZA111S0636', 'country code': 'ZA'}"
update,2156,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Country King ', 'city': 'Mpumalanga', 'segmentation': 'S2', 'management method': 'DODO', 'country code': 'ZA', 'norm_name': 'country king', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Outering', 'cost center': 'KE111S0084', 'country code': 'KE'}"
update,2157,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'Courtenary', 'city': 'Western Cape', 'segmentation': 'S1', 'management method': 'DODO', 'country code': 'ZA', 'norm_name': 'courtenary', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'Courtenay', 'cost center': 'ZA111S0168', 'country code': 'ZA'}"
update,2158,,,fuzzy_station_extractOne,"{'cost center': nan, 'station name': 'CP Motors', 'city': 'Eastern Cape', 'segmentation': 'S2', 'management method': 'DODO', 'country code': 'ZA', 'norm_name': 'cp motors', 'norm_cost': '', 'norm_country': 'ZA'}","{'station name': 'CP Motors', 'cost center': 'ZA111S0201', 'country code': 'ZA'}"
